
NOTICE: Existing SQLite export found: report_nsys_v2.sqlite
        It is assumed file was previously exported from: report_nsys_v2.nsys-rep
        Consider using --force-export=true if needed.

Processing [report_nsys_v2.sqlite] with [/usr/local/cuda-13.1/nsight-systems-2025.5.2/host-linux-x64/reports/nvtx_pushpop_trace.py]... 
Start (ns),End (ns),Duration (ns),DurChild (ns),DurNonChild (ns),Name,PID,TID,Lvl,NumChild,RangeId,ParentId,RangeStack,NameTree
1893994801,1894003881,9080,0,9080,:VecAXPY,189126,189126,1,0,48,10,:10:48,--:VecAXPY
1894010511,1894051302,40791,39491,1300,:PCApply,189126,189126,1,1,49,10,:10:49,--:PCApply
1894011441,1894050932,39491,34641,4850,:VecPointwiseMult,189126,189126,2,1,50,49,:10:49:50,----:VecPointwiseMult
1894015641,1894050282,34641,0,34641,CCCL:thrust::transform,189126,189126,3,0,51,50,:10:49:50:51,------CCCL:thrust::transform
1894053232,1894150773,97541,0,97541,:VecNorm,189126,189126,1,0,52,10,:10:52,--:VecNorm
1894153643,1894204754,51111,0,51111,:VecTDot,189126,189126,1,0,53,10,:10:53,--:VecTDot
1894207394,1894719522,512128,0,512128,:VecAYPX,189126,189126,1,0,54,10,:10:54,--:VecAYPX
1894723612,1894769183,45571,0,45571,:MatMult,189126,189126,1,0,55,10,:10:55,--:MatMult
1894769703,1894972706,203003,0,203003,:VecTDot,189126,189126,1,0,56,10,:10:56,--:VecTDot
1894973536,1894981736,8200,0,8200,:VecAXPY,189126,189126,1,0,57,10,:10:57,--:VecAXPY
1894982246,1894987426,5180,0,5180,:VecAXPY,189126,189126,1,0,58,10,:10:58,--:VecAXPY
1894988166,1894999686,11520,10610,910,:PCApply,189126,189126,1,1,59,10,:10:59,--:PCApply
1894988766,1894999376,10610,9450,1160,:VecPointwiseMult,189126,189126,2,1,60,59,:10:59:60,----:VecPointwiseMult
1894989546,1894998996,9450,0,9450,CCCL:thrust::transform,189126,189126,3,0,61,60,:10:59:60:61,------CCCL:thrust::transform
1895000266,1895077117,76851,0,76851,:VecNorm,189126,189126,1,0,62,10,:10:62,--:VecNorm
1895078077,1895126678,48601,0,48601,:VecTDot,189126,189126,1,0,63,10,:10:63,--:VecTDot
1895127808,1895140028,12220,0,12220,:VecAYPX,189126,189126,1,0,64,10,:10:64,--:VecAYPX
1895140588,1895152739,12151,0,12151,:MatMult,189126,189126,1,0,65,10,:10:65,--:MatMult
1895153479,1895356212,202733,0,202733,:VecTDot,189126,189126,1,0,66,10,:10:66,--:VecTDot
1895356892,1895362592,5700,0,5700,:VecAXPY,189126,189126,1,0,67,10,:10:67,--:VecAXPY
1895362962,1895368022,5060,0,5060,:VecAXPY,189126,189126,1,0,68,10,:10:68,--:VecAXPY
1895368822,1895379862,11040,9830,1210,:PCApply,189126,189126,1,1,69,10,:10:69,--:PCApply
1895369622,1895379452,9830,8350,1480,:VecPointwiseMult,189126,189126,2,1,70,69,:10:69:70,----:VecPointwiseMult
1895370322,1895378672,8350,0,8350,CCCL:thrust::transform,189126,189126,3,0,71,70,:10:69:70:71,------CCCL:thrust::transform
1895380602,1895456593,75991,0,75991,:VecNorm,189126,189126,1,0,72,10,:10:72,--:VecNorm
1895457673,1895505274,47601,0,47601,:VecTDot,189126,189126,1,0,73,10,:10:73,--:VecTDot
1895505824,1895516704,10880,0,10880,:VecAYPX,189126,189126,1,0,74,10,:10:74,--:VecAYPX
1895517184,1895529494,12310,0,12310,:MatMult,189126,189126,1,0,75,10,:10:75,--:MatMult
1895529904,1895728217,198313,0,198313,:VecTDot,189126,189126,1,0,76,10,:10:76,--:VecTDot
1895740497,1895747787,7290,0,7290,:VecAXPY,189126,189126,1,0,77,10,:10:77,--:VecAXPY
1895748187,1895753468,5281,0,5281,:VecAXPY,189126,189126,1,0,78,10,:10:78,--:VecAXPY
1895754118,1895766088,11970,10990,980,:PCApply,189126,189126,1,1,79,10,:10:79,--:PCApply
1895754778,1895765768,10990,9660,1330,:VecPointwiseMult,189126,189126,2,1,80,79,:10:79:80,----:VecPointwiseMult
1895755658,1895765318,9660,0,9660,CCCL:thrust::transform,189126,189126,3,0,81,80,:10:79:80:81,------CCCL:thrust::transform
1895766628,1895848339,81711,0,81711,:VecNorm,189126,189126,1,0,82,10,:10:82,--:VecNorm
1895849409,1895894680,45271,0,45271,:VecTDot,189126,189126,1,0,83,10,:10:83,--:VecTDot
1895895510,1895906530,11020,0,11020,:VecAYPX,189126,189126,1,0,84,10,:10:84,--:VecAYPX
1895907070,1895919320,12250,0,12250,:MatMult,189126,189126,1,0,85,10,:10:85,--:MatMult
1895920140,1896116113,195973,0,195973,:VecTDot,189126,189126,1,0,86,10,:10:86,--:VecTDot
1896117623,1896125333,7710,0,7710,:VecAXPY,189126,189126,1,0,87,10,:10:87,--:VecAXPY
1896125923,1896131023,5100,0,5100,:VecAXPY,189126,189126,1,0,88,10,:10:88,--:VecAXPY
1896131493,1896142343,10850,10010,840,:PCApply,189126,189126,1,1,89,10,:10:89,--:PCApply
1896132133,1896142143,10010,8920,1090,:VecPointwiseMult,189126,189126,2,1,90,89,:10:89:90,----:VecPointwiseMult
1896132813,1896141733,8920,0,8920,CCCL:thrust::transform,189126,189126,3,0,91,90,:10:89:90:91,------CCCL:thrust::transform
1896142713,1896226015,83302,0,83302,:VecNorm,189126,189126,1,0,92,10,:10:92,--:VecNorm
1896226875,1896273365,46490,0,46490,:VecTDot,189126,189126,1,0,93,10,:10:93,--:VecTDot
1896274045,1896284926,10881,0,10881,:VecAYPX,189126,189126,1,0,94,10,:10:94,--:VecAYPX
1896285476,1896296846,11370,0,11370,:MatMult,189126,189126,1,0,95,10,:10:95,--:MatMult
1896297366,1896501749,204383,0,204383,:VecTDot,189126,189126,1,0,96,10,:10:96,--:VecTDot
1896502509,1896509729,7220,0,7220,:VecAXPY,189126,189126,1,0,97,10,:10:97,--:VecAXPY
1896515569,1896521529,5960,0,5960,:VecAXPY,189126,189126,1,0,98,10,:10:98,--:VecAXPY
1896522149,1896533169,11020,10130,890,:PCApply,189126,189126,1,1,99,10,:10:99,--:PCApply
1896522789,1896532919,10130,9000,1130,:VecPointwiseMult,189126,189126,2,1,100,99,:10:99:100,----:VecPointwiseMult
1896523539,1896532539,9000,0,9000,CCCL:thrust::transform,189126,189126,3,0,101,100,:10:99:100:101,------CCCL:thrust::transform
1896533619,1896619261,85642,0,85642,:VecNorm,189126,189126,1,0,102,10,:10:102,--:VecNorm
1896620021,1896667031,47010,0,47010,:VecTDot,189126,189126,1,0,103,10,:10:103,--:VecTDot
1896667671,1896679032,11361,0,11361,:VecAYPX,189126,189126,1,0,104,10,:10:104,--:VecAYPX
1896679472,1896694822,15350,0,15350,:MatMult,189126,189126,1,0,105,10,:10:105,--:MatMult
1896695252,1896891735,196483,0,196483,:VecTDot,189126,189126,1,0,106,10,:10:106,--:VecTDot
1896892285,1896898515,6230,0,6230,:VecAXPY,189126,189126,1,0,107,10,:10:107,--:VecAXPY
1896898885,1896904145,5260,0,5260,:VecAXPY,189126,189126,1,0,108,10,:10:108,--:VecAXPY
1896904655,1896915165,10510,9620,890,:PCApply,189126,189126,1,1,109,10,:10:109,--:PCApply
1896905255,1896914875,9620,8480,1140,:VecPointwiseMult,189126,189126,2,1,110,109,:10:109:110,----:VecPointwiseMult
1896905945,1896914425,8480,0,8480,CCCL:thrust::transform,189126,189126,3,0,111,110,:10:109:110:111,------CCCL:thrust::transform
1896915615,1896997656,82041,0,82041,:VecNorm,189126,189126,1,0,112,10,:10:112,--:VecNorm
1896998416,1897044177,45761,0,45761,:VecTDot,189126,189126,1,0,113,10,:10:113,--:VecTDot
1897044647,1897054857,10210,0,10210,:VecAYPX,189126,189126,1,0,114,10,:10:114,--:VecAYPX
1897055367,1897067257,11890,0,11890,:MatMult,189126,189126,1,0,115,10,:10:115,--:MatMult
1897067677,1897271760,204083,0,204083,:VecTDot,189126,189126,1,0,116,10,:10:116,--:VecTDot
1897272470,1897279771,7301,0,7301,:VecAXPY,189126,189126,1,0,117,10,:10:117,--:VecAXPY
1897280181,1897285331,5150,0,5150,:VecAXPY,189126,189126,1,0,118,10,:10:118,--:VecAXPY
1897285831,1897297061,11230,10190,1040,:PCApply,189126,189126,1,1,119,10,:10:119,--:PCApply
1897286551,1897296741,10190,9180,1010,:VecPointwiseMult,189126,189126,2,1,120,119,:10:119:120,----:VecPointwiseMult
1897287241,1897296421,9180,0,9180,CCCL:thrust::transform,189126,189126,3,0,121,120,:10:119:120:121,------CCCL:thrust::transform
1897297561,1897380962,83401,0,83401,:VecNorm,189126,189126,1,0,122,10,:10:122,--:VecNorm
1897381702,1897428833,47131,0,47131,:VecTDot,189126,189126,1,0,123,10,:10:123,--:VecTDot
1897429533,1897441973,12440,0,12440,:VecAYPX,189126,189126,1,0,124,10,:10:124,--:VecAYPX
1897442433,1897458893,16460,0,16460,:MatMult,189126,189126,1,0,125,10,:10:125,--:MatMult
1897459663,1897654006,194343,0,194343,:VecTDot,189126,189126,1,0,126,10,:10:126,--:VecTDot
1897654546,1897660626,6080,0,6080,:VecAXPY,189126,189126,1,0,127,10,:10:127,--:VecAXPY
1897661036,1897666036,5000,0,5000,:VecAXPY,189126,189126,1,0,128,10,:10:128,--:VecAXPY
1897666606,1897677337,10731,9831,900,:PCApply,189126,189126,1,1,129,10,:10:129,--:PCApply
1897667246,1897677077,9831,8651,1180,:VecPointwiseMult,189126,189126,2,1,130,129,:10:129:130,----:VecPointwiseMult
1897668046,1897676697,8651,0,8651,CCCL:thrust::transform,189126,189126,3,0,131,130,:10:129:130:131,------CCCL:thrust::transform
1897677857,1897762518,84661,0,84661,:VecNorm,189126,189126,1,0,132,10,:10:132,--:VecNorm
1897763318,1897809179,45861,0,45861,:VecTDot,189126,189126,1,0,133,10,:10:133,--:VecTDot
1897809809,1897820739,10930,0,10930,:VecAYPX,189126,189126,1,0,134,10,:10:134,--:VecAYPX
1897821249,1897832799,11550,0,11550,:MatMult,189126,189126,1,0,135,10,:10:135,--:MatMult
1897833209,1898035172,201963,0,201963,:VecTDot,189126,189126,1,0,136,10,:10:136,--:VecTDot
1898035692,1898041502,5810,0,5810,:VecAXPY,189126,189126,1,0,137,10,:10:137,--:VecAXPY
1898041902,1898046872,4970,0,4970,:VecAXPY,189126,189126,1,0,138,10,:10:138,--:VecAXPY
1898047362,1898057422,10060,9350,710,:PCApply,189126,189126,1,1,139,10,:10:139,--:PCApply
1898047892,1898057242,9350,8250,1100,:VecPointwiseMult,189126,189126,2,1,140,139,:10:139:140,----:VecPointwiseMult
1898048592,1898056842,8250,0,8250,CCCL:thrust::transform,189126,189126,3,0,141,140,:10:139:140:141,------CCCL:thrust::transform
1898057832,1898139353,81521,0,81521,:VecNorm,189126,189126,1,0,142,10,:10:142,--:VecNorm
